GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JamesMonks-20Junsoftware1,com.qa.ims.controller,OrderController,12,84,0,2,4,22,4,7,4,6
JamesMonks-20Junsoftware1,com.qa.ims.controller,OrderUpdateController,12,130,0,2,4,36,4,7,4,6
JamesMonks-20Junsoftware1,com.qa.ims.controller,ItemController,13,116,0,2,4,30,4,7,4,6
JamesMonks-20Junsoftware1,com.qa.ims.controller,OrderOption,33,72,2,0,9,8,3,3,2,3
JamesMonks-20Junsoftware1,com.qa.ims.controller,Action,33,83,2,0,9,9,3,3,2,3
JamesMonks-20Junsoftware1,com.qa.ims.controller,CustomerController,4,127,0,2,2,34,2,7,2,6
JamesMonks-20Junsoftware1,com.qa.ims,Ims,254,67,34,3,72,12,28,4,5,3
JamesMonks-20Junsoftware1,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
JamesMonks-20Junsoftware1,com.qa.ims.persistence.dao,OrderDaoMysql,198,731,13,13,60,114,12,17,1,15
JamesMonks-20Junsoftware1,com.qa.ims.persistence.dao,ItemDoaMysql,78,290,0,2,28,47,1,10,1,9
JamesMonks-20Junsoftware1,com.qa.ims.persistence.dao,CustomerDaoMysql,78,303,0,2,28,50,1,10,1,9
JamesMonks-20Junsoftware1,com.qa.ims.services,OrderServices,0,28,0,0,0,8,0,5,0,5
JamesMonks-20Junsoftware1,com.qa.ims.services,CustomerServices,6,22,0,0,1,7,1,4,1,4
JamesMonks-20Junsoftware1,com.qa.ims.services,ItemServices,0,28,0,0,0,8,0,5,0,5
JamesMonks-20Junsoftware1,com.qa.ims.persistence.domain,Itemline,4,78,4,8,2,26,4,11,0,9
JamesMonks-20Junsoftware1,com.qa.ims.persistence.domain,Domain,33,83,2,0,9,10,3,3,2,3
JamesMonks-20Junsoftware1,com.qa.ims.persistence.domain,Customer,0,224,0,30,0,63,0,31,0,16
JamesMonks-20Junsoftware1,com.qa.ims.persistence.domain,Continuer,33,50,2,0,9,6,3,3,2,3
JamesMonks-20Junsoftware1,com.qa.ims.persistence.domain,Order,4,149,4,8,2,45,4,19,0,17
JamesMonks-20Junsoftware1,com.qa.ims.persistence.domain,Item,4,117,5,9,2,30,5,13,0,11
JamesMonks-20Junsoftware1,com.qa.ims.persistence.domain,OrderLine,6,138,5,7,3,42,5,16,0,15
JamesMonks-20Junsoftware1,com.qa.ims.utils,Utils,31,0,4,0,9,0,5,0,3,0
